n	signature	member	kind	quality	statement	other_statements	recorded_at	n_places	origins	verified_labels	unverified_label_guesses	pinned	deviations_txt	sources	from_notes_tsv_row
352	PACK_REAL	PackRealBig.toBytes	Implementation-defined	note	Expected bytes are pinned as the IEEE 754 binary64 encodings, most significant byte first when big; bytesPerElem = 8.		tests/basis/fn/pack_real_fn.sml:1-7	1	tests	<name>.bytesPerElem/eight, <name>.toBytes/nan-exponent	<name>.toBytes/one … <name>.toBytes/minNormalPos, <name>.fromBytes/*	yes		testsB	
353	PACK_REAL	PackRealBig/Little, PackReal64Big/Little	Implementation-defined	note	8-byte IEEE binary64; the 64-bit structures are aliases of the default ones.		lib/basis/pack_real.sml:1-3	1	lib-body			no		lib	
354	PACK_WORD	PackWord16/32/64 Big/Little	Implementation-defined	note	Provided for N = 16, 32 and 64 over Word8 vectors and arrays.		lib/basis/pack_word.sml:1-2	1	lib-body			no		lib	
355	POSIX_*	Posix (constants, locks, TTY)	Implementation-defined	note	Named constants come from one primitive (posix_const); locks are fcntl with struct flock; TTY settings travel as numbers.		docs/language.md:221	1	docs		none	no	no	mine	88
356	POSIX_ERROR	Posix.Error.acces	Implementation-defined	note	Permissions do not stop the superuser: the acces and perm checks hold only for other users and pass trivially as root.		tests/basis/posix_error.sml:174	1	tests	Posix.Error.acces/open-unreadable-file, Posix.Error.perm/setuid-root		yes		testsA	
357	POSIX_ERROR	Posix.Error.errorName	Implementation-defined	note	POSIX names from a table mapped to the C library's E-names; other errnos named as OS.errorName does.		lib/basis/posix_error.sml:9	1	lib-body			no		lib	
358	POSIX_ERROR	Posix.Error.inval	Implementation-defined	note	Renaming a directory into itself is taken to report EINVAL.		tests/basis/posix_error.sml:143	1	tests	Posix.Error.inval/rename-into-itself		yes		testsA	
359	POSIX_FILE_SYS / BIT_FLAGS / POSIX_IO / POSIX_TTY	Posix.FileSys.O.all, Posix.IO.O.all, TTY flags all; O.all, O.fromWord; Posix.TTY.I/O/C/L.all; Posix.IO.FD.all, O.all	Implementation-defined	note	`all` is every bit of a C int / tcflag_t, also flags the system has and Posix does not name (O_CLOEXEC, O_LARGEFILE), so that they survive fromWord/getattr.	[lib] `all` is every bit of a C int, including system flags O does not name (O_CLOEXEC, O_LARGEFILE); toWord o fromWord = andb with all. || [lib] Every bit of a 32-bit tcflag_t is in `all`, so flags Posix does not name survive getattr/setattr. || [lib] Flag sets are words; `all` is every bit of a C int.	lib/basis/posix_filesys.sml:36-40; lib/basis/posix_io.sml:87-88; lib/basis/posix_tty.sml:6-8	3	lib-body		Posix.FileSys.O.all/*	no	no	lib,mine	127
360	POSIX_FILE_SYS	Posix.FileSys.S.all	Implementation-defined	note	07777: every bit chmod sets, including S_ISVTX.		lib/basis/posix_filesys.sml:78	1	lib-body			no		lib	
361	POSIX_FILE_SYS	Posix.FileSys.S.isgid	Implementation-defined	note	The owner may always set set-user-id; set-group-id is only required to stick when the file's group is one of the process's groups.		tests/basis/posix_filesys.sml:297-298	1	tests	Posix.FileSys.S.isuid/chmod, Posix.FileSys.S.isgid/chmod		yes		testsA	
362	POSIX_FILE_SYS	Posix.FileSys.S.toWord	Implementation-defined	note	Mode flags are pinned to the C binding's <sys/stat.h> values (S_IRWXU 0700 through S_ISUID 04000, S_ISGID 02000), in a section of their own.		tests/basis/posix_filesys.sml:311-313	1	tests	Posix.FileSys.S.toWord/values-of-the-C-binding		yes		testsA	
363	POSIX_FILE_SYS	Posix.FileSys.ST	Implementation-defined	note	/dev/null is a character device everywhere; no block device can be counted on (isBlk only checked false). A new file's group is the egid or the directory's group; times compared in whole seconds.		tests/basis/posix_filesys_stat.sml:2-12	1	tests	Posix.FileSys.ST.isChr/dev-null, Posix.FileSys.ST.isBlk/none-of-the-others, Posix.FileSys.ST.uid/new-file, Posix.FileSys.ST.gid/new-file, Posix.FileSys.ST.atime/utime, Posix.FileSys.ST.mtime/utime		yes		testsA	
364	POSIX_FILE_SYS	Posix.FileSys.mkdir vs OS.FileSys.mkDir; Posix.FileSys.mkdir	Implementation-defined	note	OS.FileSys.mkDir gives every permission the umask leaves (mode 777 & ~umask).	"[lib] Mode m ""as modified by the umask"" is achieved by temporarily widening the umask with the bits m lacks around OS.FileSys.mkDir."	lib/basis/posix_filesys.sml:115-118	1	lib-body		none found	no	no	lib,mine	89
365	POSIX_FILE_SYS	Posix.FileSys.pathconf	Implementation-defined	note	NAME_MAX must be bounded (SOME) and lie in 13..255.		tests/basis/posix_filesys_stat.sml:250	1	tests	Posix.FileSys.pathconf/NAME_MAX		yes		testsA	
366	POSIX_FILE_SYS	Posix.FileSys.pathconf	Implementation-defined	note	PATH_MAX may be unbounded (NONE) or at most 65535; LINK_MAX likewise may be NONE.		tests/basis/posix_filesys_stat.sml:255	1	tests	Posix.FileSys.pathconf/PATH_MAX, Posix.FileSys.pathconf/LINK_MAX		yes		testsA	
367	POSIX_FILE_SYS	Posix.FileSys.stdin	Implementation-defined	note	The standard descriptors are pinned to the words 0, 1 and 2 (STDIN_FILENO etc.), which the page does not state.		tests/basis/posix_filesys.sml:56-57	1	tests	Posix.FileSys.stdin/is-0, Posix.FileSys.stdout/is-1, Posix.FileSys.stderr/is-2, Posix.FileSys.stdin/wordToFD-0		yes		testsA	
368	POSIX_FILE_SYS	ST.atime, mtime, ctime; utime	Implementation-defined	note	Whole seconds only (from source; utime at line 198).		lib/basis/posix_filesys.sml:168-169	1	lib-body			no		lib	
369	POSIX_FILE_SYS	pathconf, fpathconf	Implementation-defined	note	"Limit names are given without prefix: ""LINK_MAX"", ""NAME_MAX"", ..."		lib/basis/posix_filesys.sml:206	1	lib-body			no		lib	
370	POSIX_FILE_SYS	rmdir, chdir, getcwd, unlink, rename, readlink, opendir..., access	Implementation-defined	note	Are the OS.FileSys functions themselves.		lib/basis/posix_filesys.sml:181	1	lib-body			no		lib	
371	POSIX_IO	Posix.IO lock functions	Implementation-defined	note	Implemented with fcntl and a struct flock.		lib/basis/posix_io.sml:55	1	lib-body			no		lib	
372	POSIX_IO / PRIM_IO	Posix.IO.mkTextReader … positions; TextIO/BinIO file readers and writers (getPos); mkBinReader, mkTextReader, mkBinWriter, mkTextWriter; Posix.IO.mkBinReader	Implementation-defined	note	Only a regular file has positions: getPos/setPos/endPos/verifyPos are NONE for a pipe, socket or terminal.	[lib] After close only getPos works and returns the position the file had; positions are byte offsets, present only for regular files. || [lib] getPos, setPos, endPos, verifyPos exist only for regular files; NONE for pipes, sockets, terminals; reader chunkSize 4096. || [testsA] A pipe has no positions, so a stream built on a reader from mkBinReader must work without getPos/setPos.	lib/basis/posix_io.sml:119-121; lib/basis/runefile.sml:34-38; tests/basis/posix_io.sml:345	3	lib-body,tests	Posix.IO.mkBinReader/from-a-pipe	Posix.IO.mkBinReader/*	yes	no	lib,mine,testsA	128
373	POSIX_PROCESS	Posix.Process.W, waitpid_nh	Implementation-defined	note	W contains only untraced; WNOHANG is added internally by waitpid_nh.		lib/basis/posix_process.sml:48	1	lib-body			no		lib	
374	POSIX_PROC_ENV	Posix.ProcEnv	Implementation-defined	note	Expected values are whatever id, uname, date and getconf report. The runner makes stdin /dev/null, so no test descriptor is a terminal.		tests/basis/posix_procenv.sml:3-10	1	tests	Posix.ProcEnv.ttyname/dev-null, Posix.ProcEnv.isatty/dev-null, Posix.ProcEnv.getgroups/in-id-G		yes		testsA	
375	POSIX_PROC_ENV	Posix.ProcEnv.getgroups	Implementation-defined	note	The supplementary groups are compared with `id -G`, which also lists the effective group, so the egid is added before comparing.		tests/basis/posix_procenv.sml:46-47	1	tests	Posix.ProcEnv.getgroups/in-id-G, Posix.ProcEnv.getgroups/id-G-in-them		yes		testsA	
376	POSIX_PROC_ENV	Posix.ProcEnv.setuid	Implementation-defined	note	Only the superuser may become the superuser: setuid/setgid 0 must raise SysErr unless the process is already root (passes trivially then).		tests/basis/posix_procenv.sml:66	1	tests	Posix.ProcEnv.setuid/root-raises, Posix.ProcEnv.setgid/root-raises		yes		testsA	
377	POSIX_SIGNAL	Posix.Signal	Implementation-defined	note	Signal numbers are the host's: each is checked against what the shell's `kill -l` names it. Core-dumping, runner-ignored and stopping signals are checked by number only, not delivered.		tests/basis/posix_signal.sml:3-11	1	tests	Posix.Signal.term/kill-l, Posix.Signal.toWord/distinct	Posix.Signal.term/toWord-fromWord (likewise for abrt … ttou)	yes		testsB	
378	POSIX_SIGNAL	Posix.Signal.signal	Implementation-defined	note	Signals are the system's numbers.		lib/basis/posix_signal.sml:1	1	lib-body			no		lib	
379	POSIX_SYS_DB	Posix.SysDB	Implementation-defined	note	Host assumption: the user and the group with ID 0 exist and are called root (Linux, BSDs); other fields are compared with getent output.		tests/basis/posix_sysdb.sml:3-8	1	tests	Posix.SysDB.getpwnam/root, Posix.SysDB.getpwuid/root, Posix.SysDB.getgrnam/root, Posix.SysDB.getgrgid/root, Posix.SysDB.Passwd.uid/root, Posix.SysDB.Group.gid/root		yes		testsB	
380	POSIX_TTY	Posix.TTY termios, flags, speed, cc	Implementation-defined	note	Flag sets are tcflag_t words, speed is speed_t, cc a string of NCCS characters; all read and written at once.		lib/basis/posix_tty.sml:1-4	1	lib-body			no		lib	
381	POSIX_TTY	Posix.TTY.speed, compareSpeed	Implementation-defined	note	A speed is the system's speed_t; named speeds are ordered by baud rate.		lib/basis/posix_tty.sml:116-117	1	lib-body			no		lib	
382	PRIM_IO	BinPrimIO.compare	Implementation-defined	note	BinPrimIO.pos is Position.int and file positions are byte offsets, so compare is checked as integer order; TextPrimIO.pos is abstract and compared on files elsewhere.		tests/basis/io_primio.sml:3-13	1	tests	BinPrimIO.compare/less, BinPrimIO.compare/equal, BinPrimIO.compare/greater		yes		testsA	
383	PRIM_IO	PrimIO readers	Implementation-defined	note	A reader offers the supplied operations plus those derivable from them; the rest are NONE; positions may be of any type.		lib/basis/primio_fn.sml:1-6	1	lib-body			no		lib	
384	PRIM_IO	augmentReader, augmentWriter; augmentReader	Implementation-defined	note	Every row of the page's table is synthesised; an operation the reader/writer has is kept as it is.	[lib] Follows the spec's table: existing operations kept; vector/array reads derived by copying; blocking from NB plus block; NB from blocking plus canInput.	docs/language.md:229; lib/basis/primio_fn.sml:152-156; tests/basis/fn/prim_io_fn.sml:251,350	4	docs,lib-body,tests		<P>.augmentReader/*	no	no	lib,mine	84
385	REAL	Real	Implementation-defined	note	IEEE binary64 (radix 2, precision 53).		lib/basis/real.sml:1	1	lib-body			no		lib	
386	REAL	Real.*+	Implementation-defined	note	Whether *+ and *- are fused is left to the implementation: the operands make every intermediate exact, so fused and unfused give the same value.		tests/basis/real.sml:228-229	1	tests	Real.*+/basic, Real.*+/negative, Real.*-/basic, Real.*-/negative, Real.*+/law-small-integers		yes		testsB	
387	REAL	Real.floor	Implementation-defined	note	The Overflow boundary is checked for any bounded int precision p: fromInt maxInt + 1.0 = 2^(p-1) overflows; with unbounded int the checks pass vacuously.		tests/basis/real.sml:804-806	1	tests	Real.floor/Overflow-above-maxInt, Real.ceil/Overflow-above-maxInt, Real.trunc/Overflow-above-maxInt, Real.round/Overflow-above-maxInt, Real.floor/Overflow-below-minInt, Real.ceil/Overflow-below-minInt, Real.trunc/Overflow-below-minInt, Real.round/Overflow-below-minInt		yes		testsB	
388	REAL	Real.floor	Implementation-defined	note	minInt = ~2^(p-1) is a real for every precision: all conversions return it, and so do those that round minInt - 0.5 upwards (for p > 53 that real is minInt).		tests/basis/real.sml:824-825	1	tests	Real.floor/minInt, Real.ceil/minInt, Real.trunc/minInt, Real.round/minInt, Real.ceil/minInt-minus-half, Real.trunc/minInt-minus-half, Real.round/minInt-minus-half-tie-to-even		yes		testsB	
389	REAL	Real.floor	Implementation-defined	note	The largest real below 2^(p-1) depends on int precision: maxInt itself for p <= 53, otherwise 2^(p-1) - 2^(p-54).		tests/basis/real.sml:838-839	1	tests	Real.floor/near-maxInt, Real.ceil/near-maxInt, Real.trunc/near-maxInt, Real.round/near-maxInt		yes		testsB	
390	REAL	Real.floor	Implementation-defined	note	Only for p <= 53 is the boundary sharp (maxInt + 0.5 and minInt - 0.5 are reals); for p > 53 these checks pass vacuously.		tests/basis/real.sml:852	1	tests	Real.floor/maxInt-plus-half, Real.trunc/maxInt-plus-half, Real.ceil/Overflow-maxInt-plus-half, Real.round/Overflow-maxInt-plus-half-tie-to-even, Real.floor/Overflow-minInt-minus-half		yes		testsB	
391	REAL	Real.fmt (GEN n), toString	Implementation-defined	note	Picks the shorter of scientific and fixed notation for at most n significant digits; a tie goes to fixed-point.		lib/basis/real.sml:207-208	1	lib-body			no		lib	
392	REAL	Real.fromInt	Implementation-defined	note	fromInt maxInt depends on int precision: exactly 2^(p-1) - 1 if p <= 54, otherwise rounded to 2^(p-1); true if int is unbounded.		tests/basis/real.sml:990	1	tests	Real.fromInt/maxInt, Real.fromInt/minInt		yes		testsB	
393	REAL	Real.fromLargeInt, toLargeInt	Implementation-defined	note	Correctly rounded from the 55 leading bits with a sticky bit; integral reals convert exactly via the mantissa (also 109-110).		lib/basis/real.sml:130-132	1	lib-body			no		lib	
394	REAL	Real.precision	Implementation-defined	note	Real is pinned as the 64-bit IEEE double: radix 2, precision 53.		tests/basis/real.sml:80	1	tests	Real.radix/two, Real.precision/double		yes		testsB	
395	REAL	Real.precision	Implementation-defined	note	The precision must be what the arithmetic shows (no extended-precision intermediates): 1 + 2^~52 > 1, and 1 + 2^~53 rounds to even, 1.		tests/basis/real.sml:83-84	1	tests	Real.precision/one-plus-ulp, Real.precision/one-plus-half-ulp, Real.precision/no-extended-precision		yes		testsB	
396	REAL	Real.real, LargeReal, Real64; LargeReal; LargeReal, Real64	Implementation-defined	note	IEEE binary64; LargeReal = Real64 = Real. Text conversions are correctly rounded (C library strtod/printf). toString = fmt (GEN NONE).	[testsB] On the four systems of the matrix Real and LargeReal are both the 64-bit IEEE double, so LargeReal.real is real. || [lib] Both are Real. || [testsB] Section largereal-alias pins the implementation choice LargeReal = Real (same type, same precision).	docs/basis-compat.md:197; docs/language.md:201; lib/basis/real.sml:151; tests/basis/real_sig.sml:3-5,29	5	docs,lib-body,tests	LargeReal:REAL/matches, LargeReal:REAL/Math-shares-real, LargeReal:REAL/toLarge-gives-LargeReal.real, LargeReal:REAL/real-is-toplevel, LargeReal:REAL/same-precision	none	yes	no	lib,mine,testsB	68
397	REAL	Real.toLargeInt	Implementation-defined	note	Expected values need an unbounded LargeInt (all four systems have one); with a bounded LargeInt the checks pass vacuously.		tests/basis/real.sml:918-919	1	tests	Real.toLargeInt/TO_NEGINF-positive	Real.toLargeInt/TO_NEAREST-tie-even (and the rest of section tolargeint)	yes		testsB	
398	REAL	Real32	Implementation-defined	note	Real32.real is a type distinct from real, which is binary64 on all systems of the matrix.		tests/basis/real32_sig.sml:3-4	1	tests	Real32:REAL/matches, Real32:REAL/Math-shares-real, Real32:REAL/toLarge-gives-LargeReal.real		yes		testsB	
399	REAL	Real32	Implementation-defined	note	Optional; binary32 kept as a binary64 and re-rounded (real_to_single) after each operation in the current mode; numerals via strtof.		lib/basis/real32.sml:1-8	1	lib-body			no		lib	
400	REAL	Real32.fmt	Implementation-defined	note	As Real.fmt except EXACT, which gives the fewest digits that read back as the same binary32.		lib/basis/real32.sml:116-118	1	lib-body			no		lib	
401	REAL (Real32)	Real32.real	Implementation-defined	note	Abstract (Real32 :> REAL): a double that binary32 represents; every result rounded to binary32 in the current mode; numerals via strtof (rounded once); fmt EXACT/toDecimal give fewest digits that read back; *+ and *- round once.		docs/basis-compat.md:198; docs/language.md:266	2	docs		Real32.*	no	no	mine	69
402	SIGNATURES	WORD, INTEGER, PRIM_IO, STREAM_IO, MONO_* (but MONO_ARRAY2)	Implementation-defined	note	These signatures are lib/basis's own (its structures are sealed with them), not generated from the transcriptions; the other 56 are generated from tests/basis/spec-sigs.		docs/language.md:274; scripts/gen-basis-sigs.sh:10-14	2	docs,other		signatures.sml sections	no	no	mine	93
403	SOCKET	Socket *NB functions	Implementation-defined	note	Implemented by temporarily switching the handle to non-blocking mode; NONE when the call would wait.		lib/basis/socket.sml:90-92	1	lib-body			no		lib	
404	SOCKET	Socket.Ctl.getATMARK	Implementation-defined	note	"(marginal) Host TCP semantics pinned: ""abc"" sent with oob puts the out-of-band mark after ""ab"" (the last byte is the urgent one)."		tests/basis/socket_ctl.sml:144-146	1	tests	Socket.Ctl.getATMARK/before-and-at-the-mark		yes		testsB	
405	SOCKET	Socket.Ctl.getLINGER, setLINGER	Implementation-defined	note	SO_LINGER via struct linger, in whole seconds.		lib/basis/socket.sml:247-248	1	lib-body			no		lib	
406	SOCKET	Socket.Ctl.setSNDBUF	Implementation-defined	note	Buffer sizes are only checked to be at least what was asked for, since the system may add room (Linux doubles them).		tests/basis/socket_ctl.sml:3-11	1	tests	Socket.Ctl.setSNDBUF/at-least-the-size, Socket.Ctl.setSNDBUF/larger, Socket.Ctl.setRCVBUF/at-least-the-size, Socket.Ctl.setRCVBUF/larger		yes		testsB	
407	SOCKET	Socket.sock type parameters	Implementation-defined	note	Phantom types only; the value is the handle regardless.		lib/basis/socket.sml:39-40	1	lib-body			no		lib	
408	SOCKET	Socket.sock, sock_addr, NB forms, select; Socket.sock, sock_addr	Implementation-defined	note	A socket is the system's descriptor with phantom family/mode types; sock_addr is the bytes of the sockaddr; NB forms switch the descriptor to non-blocking for the call; select is OS.IO.poll; zero-byte receive returns at once; send to a gone peer fails with EPIPE (MSG_NOSIGNAL) instead of SIGPIPE.	[lib] A socket is a system handle (SOCK of int); an address is the raw sockaddr bytes (ADDR of string).	docs/basis-compat.md:209; docs/language.md:223; lib/basis/socket.sml:1-3	3	docs,lib-body		Socket.*	no	no	lib,mine	85
409	STREAM_IO	outstreams over VM files	Implementation-defined	note	Such a stream hands everything to the VM at once and asks the VM to flush per mode; getWriter's writer writes through.		lib/basis/streamio_fn.sml:1-18	1	lib-body			no		lib	
410	STRING	String	Implementation-defined	note	8-bit byte strings.		lib/basis/string.sml:1	1	lib-body			no		lib	
411	STRING	String.extract	Implementation-defined	note	"The ""largest int"" used for the overflow checks is Int.maxInt, or 2^30 - 1 when int is unbounded."		tests/basis/string.sml:33	1	tests	String.extract/SOME-Subscript-not-Overflow-size, String.extract/SOME-Subscript-not-Overflow-both, String.extract/SOME-Subscript-not-Overflow-start		yes		testsB	
412	STRING	String.maxSize	Implementation-defined	note	String.maxSize = 1073741823 (2^30 - 1). Recorded only in the source.	[lib] 1073741823 (2^30-1); also CharVector/Word8Vector.maxLen (from source).	lib/basis/string.sml:7	1	lib-body	String.maxSize/positive		yes	no -- NOT documented	lib,mine	72
413	STRING_CVT	StringCvt.padLeft	Implementation-defined	note	The smallest and largest int are Int.minInt/maxInt, or ~2^30 / 2^30 - 1 when int is unbounded.		tests/basis/stringcvt.sml:51	1	tests	StringCvt.padLeft/width-minInt, StringCvt.padRight/width-minInt		yes		testsB	
414	SUBSTRING	Substring	Implementation-defined	note	The same small and large ints (minInt/maxInt, or ±2^30) drive the Subscript-not-Overflow checks.		tests/basis/substring.sml:50	1	tests	Substring.substring/Subscript-not-Overflow-sum-size, Substring.extract/NONE-Subscript-not-Overflow, Substring.slice/SOME-Subscript-not-Overflow-sum-size, Substring.triml/largest-k, Substring.trimr/Subscript-smallest-k		yes		testsB	
415	SUBSTRING	Substring.concat	Implementation-defined	note	Size of concat/concatWith is checked only where String.maxSize <= 2^26.		tests/basis/substring.sml:387-388	1	tests		Substring.concat/Size, Substring.concatWith/Size, Substring.concatWith/Size-by-the-separators	no		testsB	
416	TEXT	WideText	Implementation-defined	note	Optional structure provided.		lib/basis/widetext.sml:1-2	1	lib-body			no		lib	
417	TEXT_IO	TextIO	Implementation-defined	note	On the POSIX systems the suite runs on, a text file holds exactly the characters written to it (no newline or character translation).		tests/basis/textio.sml:2-12	1	tests	TextIO.output/every-character, TextIO.output1/every-character, TextIO.inputAll/every-character		yes		testsB	
418	TEXT_IO	TextIO file writers	Implementation-defined	note	Write through to the VM's file; the VM buffers.		lib/basis/textio.sml:91-92	1	lib-body			no		lib	
419	TEXT_IO	TextIO/BinIO buffering	Implementation-defined	note	The VM buffers file output and flushes all files at exit; the comment calls NO_BUF the default, but TextIO.openOut reports BLOCK_BUF/LINE_BUF.		lib/basis/runefile.sml:59-61	1	lib-body			no		lib	
420	TEXT_IO	TextIO/BinIO files	Implementation-defined	note	Files are VM handles (ints): 0 stdin, 1 stdout, 2 stderr, others from file_open.		lib/basis/runefile.sml:1-3	1	lib-body			no		lib	
421	TEXT_IO	WideTextIO.openString, mkInstream	Implementation-defined	note	Wide strings and user-supplied readers carry wide characters as they are, without UTF-8 encoding.		lib/basis/widetextio.sml:175	1	lib-body			no		lib	
422	TEXT_IO	chunkSize	Implementation-defined	note	4096 for file readers and writers; 1024 for WideTextIO (from source).		lib/basis/runefile.sml:21	1	lib-body			no		lib	
423	TEXT_IO / IO	buffering modes	Implementation-defined	note	openOut is BLOCK_BUF, LINE_BUF on a terminal, stdErr NO_BUF; file output is buffered by the VM; user-made streams buffer as their mode says.		docs/language.md:229; docs/plans/basis.md:159-162	2	docs		TextIO.StreamIO.getBufferMode/*	no	no	mine	82
424	TEXT_STREAM_IO / STREAM_IO	BinIO.StreamIO.filePosIn	Implementation-defined	note	Positions in files (BinPrimIO.pos = Position.int) are byte offsets.		tests/basis/binio_streamio.sml:285	1	tests	BinIO.StreamIO.filePosIn/file-offsets, BinIO.StreamIO.getPosOut/file-offsets, BinIO.StreamIO.setPosOut/file-overwrites, BinIO.setPosOut/file-overwrites		yes		testsA	
425	TEXT_STREAM_IO / STREAM_IO	TextIO.StreamIO.filePosIn	Implementation-defined	note	pos of TextIO.StreamIO is abstract, not a concrete byte offset, so only the order of positions and the effect of setPos/setPosOut are checked.		tests/basis/textio_streamio.sml:253-256	1	tests	TextPrimIO.compare/file-positions, TextIO.StreamIO.filePosIn/setPos-then-readVec, TextIO.StreamIO.filePosIn/Io-truncated		yes		testsB	
426	TIME	Time	Implementation-defined	note	The resolution of time is implementation-defined: expected times are given in nanoseconds, which every resolution of a microsecond or finer converts exactly.		tests/basis/time.sml:37-39	1	tests		(helpers eqN/eqNO, e.g. Time.+/basic, Time.fromString/fraction)	no		testsB	
427	TIME	Time.+	Implementation-defined	note	Wherever the range ends, repeated doubling must stay exact until one step raises Time, never a wrong value or another exception.		tests/basis/time.sml:237-238	1	tests	Time.+/Time-when-not-representable, Time.+/Time-when-not-representable-negative, Time.-/Time-when-not-representable, Time.-/Time-when-not-representable-positive		yes		testsB	
428	TIME	Time.fmt, toString, scan; Time.fromSeconds ... fromNanoseconds, +, -; Time.fmt; Time.scan, fromString; Time.toSeconds, toMilliseconds, fromNanoseconds; Time.fmt, toString	Implementation-defined	note	fmt rounds the last digit kept to nearest; digits after the sixth are zeros; scan drops fraction digits after the sixth and raises Time when too large; the to* conversions truncate towards zero.	"[lib] Time is raised when the result is not representable (int overflow); conversions take and give LargeInt.int as the spec prescribes. || [lib] Seconds, point, n fraction digits (no point for n=0, default 3); exact fixed-point: digits beyond the sixth are zeros; n<0 raises Size. || [lib] [+~-]?(digits(.digits?)?|.digits); any number of digits is read; fraction digits after the sixth are dropped; too large a value raises Time. || [lib] Truncate toward zero. || [lib] The last kept digit is rounded to nearest (half away from zero). || [testsB] ""Fixed-point semantics"" is read as: the digits are those of the exact value, also beyond the resolution; negative times are written with ~, as elsewhere in the library."	lib/basis/time.sml:16-17,26,49-52,61,73-75; tests/basis/time.sml:296-302	6	lib-body,tests	Time.fmt/fixed-point-semantics, Time.fmt/fixed-point-semantics-rounded, Time.fmt/more-digits-than-microseconds, Time.fmt/40-digits, Time.fmt/negative, Time.toString/negative	Time.fmt/*	yes	no	lib,mine,testsB	125
429	TIME	Time.fromSeconds	Implementation-defined	note	The range of time is left open: for 10^40 of any unit the check wants the exact time or the exception Time, nothing else.		tests/basis/time.sml:203	1	tests	Time.fromSeconds/huge-exact-or-Time, Time.fromSeconds/huge-negative-exact-or-Time, Time.fromSeconds/beyond-64-bit-microseconds-exact-or-Time, Time.fromMilliseconds/huge-exact-or-Time, Time.fromMicroseconds/huge-exact-or-Time, Time.fromNanoseconds/huge-exact-or-Time, Time.fromNanoseconds/huge-negative-exact-or-Time		yes		testsB	
430	TIME	Time.time	Implementation-defined	note	Microseconds in an int (about +-292,000 years); conversions take/give LargeInt.int; finer fractions are lost.	[lib] Held as microseconds in a 64-bit int; finer input is truncated.	docs/basis-compat.md:207; docs/language.md:214; lib/basis/time.sml:1	3	docs,lib-body		none	no	no	lib,mine	74
431	TIME	Time.toNanoseconds	Implementation-defined	note	For a time beyond 2^63 ns, the exact LargeInt result is expected, or Overflow only when LargeInt has a precision; an unrepresentable time passes vacuously.		tests/basis/time.sml:165-167	1	tests	Time.toNanoseconds/beyond-64-bits, Time.toMicroseconds/large, Time.toMilliseconds/large, Time.toSeconds/large		yes		testsB	
432	TIMER	Timer.totalRealTimer	Implementation-defined	note	Real time counts from library initialisation, just before the program's own code runs.		lib/basis/timer.sml:28-29	1	lib-body			no		lib	
433	UNIX	Unix.execute (exec failure); Unix.execute, executeInEnv; Unix.execute	Implementation-defined	note	A child whose exec fails exits with status 126, as the page asks.	[lib] Quote: a child whose exec fails exits with status 126. || [testsB] When the command cannot be executed, both outcomes are accepted: the child exits with status 126, or execute/executeInEnv raises OS.SysErr.	lib/basis/unix.sml:40-42; tests/basis/unix.sml:50-53	2	lib-body,tests	Unix.execute/no-such-program, Unix.executeInEnv/no-such-program	Unix.execute/*126*	yes	no	lib,mine,testsB	126
434	UNIX	Unix.execute, executeInEnv	Implementation-defined	note	The parent's pipe ends are close-on-exec, so later children do not keep them open.		lib/basis/unix.sml:27-28	1	lib-body			no		lib	
435	UNIX	Unix.proc, reap, exit; Unix.proc	Implementation-defined	note	A process with a pipe each way; reap gives OS.Process.status; exit runs the atExit actions; the two type variables of proc force a type annotation on top-level bindings (value restriction).	[lib] One representation for all stream kinds; the type parameters are phantom; text streams are created once and cached.	docs/language.md:222; lib/basis/unix.sml:11-13	2	docs,lib-body		Unix.*	no	no	lib,mine	87
436	VECTOR	Vector.concat	Implementation-defined	note	Size of concat is checked only where Vector.maxLen <= 2^24 (1024 copies of maxLen div 1024 + 1 elements); for fromList it is not checked anywhere.		tests/basis/vector.sml:306-308	1	tests		Vector.concat/Size-above-maxLen	no		testsB	
437	VECTOR_SLICE	VectorSlice.concat	Implementation-defined	note	Size of concat is checked only where Vector.maxLen is small (<= 2^24).		tests/basis/vectorslice.sml:435-437	1	tests		VectorSlice.concat/Size-above-maxLen	no		testsB	
438	WORD	WORD	Implementation-defined	note	Nothing is assumed about wordSize beyond >= 8, nor about the precision of Int.int; LargeInt.int is assumed to hold 2^(2*wordSize+1), true wherever it is IntInf.		tests/basis/fn/word_fn.sml:1-15	1	tests		(whole functor TestWordFn, e.g. <name>.fromString/all-ones)	no		testsB	
439	WORD	WORD.toInt	Implementation-defined	note	toInt/toIntX through LargeWord: depending on the precision of Int.int the outcome is an Int.int or Overflow, and both are modelled.		tests/basis/fn/word_large_fn.sml:94	1	tests	<name>.toInt/through-LargeWord-<k>, <name>.toIntX/through-LargeWord-<k>		yes		testsB	
440	WORD	Word.wordSize; LargeWord, SysWord, Word64; Word, LargeWord, SysWord; Word64	Implementation-defined	note	word has 64 bits; LargeWord = SysWord = Word64 = Word. Word8/16/32 keep the upper bits of a word zero.	[lib] 64-bit words; LargeWord and SysWord are Word (word.sml:114, 121-122). || [lib] Is Word itself.	docs/basis-compat.md:17,194,196; docs/language.md:200,232,263; lib/basis/word.sml:1-3,7; lib/basis/word64.sml:1	9	docs,lib-body		none	no	no	lib,mine	67
